what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.liferay.ide.eclipse.ui.snippets,1.2.3.v201103310212,"com.liferay.ide.eclipse.ui.snippets",1361182396432
stopped,bundle,com.liferay.ide.eclipse.ui,1.2.3.v201103310212,"com.liferay.ide.eclipse.ui",1361182396448
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1361182396448
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1361182396448
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1361182396448
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1361182396479
stopped,bundle,org.jboss.tools.esb.project.ui,1.4.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.project.ui",1361182396494
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1361182396604
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1361182396681
stopped,bundle,org.eclipse.birt.report.debug.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.debug.ui",1361182396759
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.6.2.r262_v20110127,"org.eclipse.birt.chart.reportitem.ui",1361182396791
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.item.crosstab.ui",1361182396853
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.ide",1361182396931
stopped,bundle,org.jboss.tools.cdi.ui,1.1.1.v20110729-2123-H143-Final,"org.jboss.tools.cdi.ui",1361182396962
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.0.0.v20110729-2123-H143-Final,"org.jboss.tools.cdi.xml.ui",1361182397009
stopped,bundle,org.jboss.tools.cdi.text.ext,1.1.1.v20110729-2123-H143-Final,"org.jboss.tools.cdi.text.ext",1361182397024
stopped,bundle,org.jboss.tools.maven.cdi,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.cdi",1361182397024
stopped,bundle,org.jboss.tools.cdi.core,1.1.1.v20110729-2123-H143-Final,"org.jboss.tools.cdi.core",1361182397040
stopped,bundle,org.jboss.tools.esb.validator,1.3.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.validator",1361182397087
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.2.1.v20110730-1214-H169-Final,"org.jboss.tools.jsf.text.ext.richfaces",1361182397118
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.1.v20110730-1214-H169-Final,"org.jboss.tools.jsf.text.ext.facelets",1361182397165
stopped,bundle,org.jboss.tools.seam.text.ext,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.text.ext",1361182397804
stopped,bundle,org.jboss.tools.jsf.text.ext,3.2.1.v20110730-1214-H169-Final,"org.jboss.tools.jsf.text.ext",1361182397819
stopped,bundle,org.jboss.tools.jsf.ui,3.2.1.v20110730-1214-H169-Final,"org.jboss.tools.jsf.ui",1361182397819
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.verification",1361182397866
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.ajax4jsf",1361182397897
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,1.0.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.jbpm",1361182397928
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.jstl",1361182397975
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.2.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.richfaces",1361182398022
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.2.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.seam",1361182398038
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.2.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.jsf",1361182398053
stopped,bundle,org.jboss.tools.maven.seam,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.seam",1361182398053
stopped,bundle,org.jboss.tools.maven.project.examples,1.0.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.project.examples",1361182398053
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.1.0.v20110729-2054-H147-Final,"org.jboss.tools.project.examples.cheatsheet",1361182398287
stopped,bundle,org.jboss.tools.project.examples,1.2.1.v20110729-2054-H147-Final,"org.jboss.tools.project.examples",1361182398287
stopped,bundle,org.jboss.tools.runtime,1.2.0.v20110801-1251-H353-Final,"org.jboss.tools.runtime",1361182398287
stopped,bundle,org.jboss.tools.seam.ui,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.ui",1361182398287
stopped,bundle,org.jboss.tools.seam.core,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.core",1361182398287
stopped,bundle,org.jboss.tools.jsf,3.2.1.v20110730-1214-H169-Final,"org.jboss.tools.jsf",1361182398334
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.facelets",1361182398365
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v20110730-1214-H169-Final,"org.jboss.tools.jsf.vpe.myfaces",1361182398381
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.1.0.v20110729-2243-H165-Final,"org.jboss.tools.struts.vpe.struts",1361182398396
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.docbook",1361182398396
stopped,bundle,org.jboss.tools.vpe.html,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.html",1361182398427
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.jsp",1361182398443
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.spring",1361182398458
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe",1361182398458
stopped,bundle,org.jboss.tools.jst.css,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.css",1361182398490
stopped,bundle,org.jboss.tools.esb.ui,1.3.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.ui",1361182398490
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.tiles.ui",1361182398505
stopped,bundle,org.jboss.tools.seam.ui.pages,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.ui.pages",1361182398521
stopped,bundle,org.jboss.tools.seam.xml.ui,3.2.0.v20110730-1321-H261-Final,"org.jboss.tools.seam.xml.ui",1361182398536
stopped,bundle,org.jboss.tools.struts.validator.ui,3.1.0.v20110729-2243-H165-Final,"org.jboss.tools.struts.validator.ui",1361182398552
stopped,bundle,org.jboss.tools.struts.ui,3.1.1.v20110729-2243-H165-Final,"org.jboss.tools.struts.ui",1361182398552
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.ui",1361182398552
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.ui.palette",1361182398568
stopped,bundle,org.jboss.tools.jst.jsp,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.jsp",1361182398568
stopped,bundle,org.jboss.tools.struts.text.ext,3.1.1.v20110729-2243-H165-Final,"org.jboss.tools.struts.text.ext",1361182398599
stopped,bundle,org.jboss.tools.jst.text.ext,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.text.ext",1361182398599
stopped,bundle,org.jboss.tools.jst.web.kb,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.kb",1361182398646
stopped,bundle,org.jboss.tools.common.el.ui,3.2.0.v20110729-1946-H142-Final,"org.jboss.tools.common.el.ui",1361182398677
stopped,bundle,org.jboss.tools.vpe.resref,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.resref",1361182398677
stopped,bundle,org.jboss.tools.common.resref.ui,3.2.0.v20110729-1946-H142-Final,"org.jboss.tools.common.resref.ui",1361182398708
stopped,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20110729-1946-H142-Final,"org.jboss.tools.common.verification.ui",1361182398708
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.xml.ui",1361182398723
stopped,bundle,org.jboss.tools.common.model.ui,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.model.ui",1361182398723
stopped,bundle,org.jboss.tools.common.text.ext,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.text.ext",1361182398723
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1361182398739
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.apt.ui",1361182398755
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.ui",1361182398786
stopped,bundle,org.hibernate.eclipse.mapper,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.mapper",1361182398848
stopped,bundle,org.jboss.tools.birt.oda.ui,1.1.0.v20110729-1955-H157-Final,"org.jboss.tools.birt.oda.ui",1361182398848
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.jpt.ui",1361182398895
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.jpt.core",1361182398942
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.ui",1361182399020
stopped,bundle,org.jboss.tools.maven.hibernate,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.hibernate",1361182399020
stopped,bundle,org.hibernate.eclipse.console,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.console",1361182399051
stopped,bundle,org.jboss.tools.common.el.core,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.el.core",1361182399082
stopped,bundle,org.jboss.tools.common.resref.core,3.1.0.v20110729-1946-H142-Final,"org.jboss.tools.common.resref.core",1361182399144
stopped,bundle,org.jboss.tools.struts.verification,3.1.0.v20110729-2243-H165-Final,"org.jboss.tools.struts.verification",1361182399191
stopped,bundle,org.jboss.tools.jst.web.verification,3.1.0.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.verification",1361182399207
stopped,bundle,org.jboss.tools.common.verification,3.2.0.v20110729-1946-H142-Final,"org.jboss.tools.common.verification",1361182399222
stopped,bundle,org.jboss.tools.gwt.ui,1.0.0.v20110729-1921-H119-Final,"org.jboss.tools.gwt.ui",1361182399253
stopped,bundle,org.jboss.tools.gwt.core,1.0.0.v20110729-1921-H119-Final,"org.jboss.tools.gwt.core",1361182399285
stopped,bundle,org.jboss.tools.hibernate.xml,3.4.0.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.xml",1361182399300
stopped,bundle,org.jboss.tools.cdi.xml,1.0.0.v20110729-2123-H143-Final,"org.jboss.tools.cdi.xml",1361182399347
stopped,bundle,org.jboss.tools.esb.core,1.4.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.core",1361182399394
stopped,bundle,org.jboss.tools.struts,3.2.0.v20110729-2243-H165-Final,"org.jboss.tools.struts",1361182399440
stopped,bundle,org.jboss.tools.jst.web.tiles,3.1.0.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.tiles",1361182399472
stopped,bundle,org.jboss.tools.seam.pages.xml,3.1.0.v20110730-1321-H261-Final,"org.jboss.tools.seam.pages.xml",1361182399518
stopped,bundle,org.jboss.tools.seam.xml,3.2.0.v20110730-1321-H261-Final,"org.jboss.tools.seam.xml",1361182399565
stopped,bundle,org.jboss.tools.jst.web,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web",1361182399565
stopped,bundle,org.jboss.tools.maven.jsf,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.jsf",1361182399565
stopped,bundle,org.jboss.tools.maven.portlet,1.2.0.v20110730-1431-H209-Final,"org.jboss.tools.maven.portlet",1361182399565
stopped,bundle,org.jboss.tools.common.model,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.model",1361182399565
stopped,bundle,org.eclipse.mylyn.ide.ant,3.8.1.v20120725-0100,"org.eclipse.mylyn.ide.ant",1361182399628
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1361182399643
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1361182399659
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1361182399705
stopped,bundle,com.google.gwt.eclipse.core,1.4.2.v201012211742,"com.google.gwt.eclipse.core",1361182399705
stopped,bundle,com.google.gdt.eclipse.core,1.4.2.v201012211742,"com.google.gdt.eclipse.core",1361182399705
